longitude,latitude,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07
30.488472,31.173472,734,3167,448,776,2741,1866,981
30.524722,31.151861,879,3139,495,909,2913,1957,1165
30.566028,31.130972,890,3036,490,864,2754,1987,1204
30.647556,31.077806,871,2739,476,789,2605,1858,1174
30.734028,31.0285,795,2775,479,887,2363,1862,1125
30.807556,31.013361,713,2307,442,707,2054,1437,843
30.790639,30.965194,863,2228,475,818,2060,1660,1172
30.801278,30.913278,738,2396,446,748,2159,1643,1154
30.815306,30.904389,752,1875,442,692,1804,1490,993
30.848333,30.901222,728,2722,414,730,2294,1362,798
30.876917,30.8735,810,2232,478,762,2137,1637,1139
30.899056,30.85625,854,2281,447,763,2013,1609,1064
30.930333,30.835639,876,2587,447,766,2461,1778,1149
30.961583,30.783083,781,2251,427,712,2204,1719,984
31.003111,30.759333,953,2310,515,861,2242,1788,1288
31.043556,30.735694,881,1962,492,759,1977,1575,1063
31.085667,30.727861,1016,1799,473,808,1879,1783,1357
31.101222,30.683639,1080,2078,545,881,2193,1966,1540
31.143611,30.645361,821,2073,440,713,2020,1735,1134
31.1825,30.600361,882,2177,486,778,2260,1832,1250
31.2075,30.569444,799,2252,450,733,2286,1832,1160
31.224444,30.531583,881,1773,458,768,1875,1606,1121
31.264361,30.518389,934,2332,490,833,2381,2044,1306
31.31125,30.515528,935,2475,503,842,2551,2011,1358
31.344417,30.482861,737,2855,421,774,2552,1751,970
30.851444,31.030083,758,3565,444,913,2782,1734,879
30.894389,31.024361,789,3078,420,839,2476,1429,858
30.893667,31.024667,789,3078,420,839,2476,1429,858
30.931611,30.990083,1174,3054,719,1125,2295,2079,1338
30.980056,30.970417,847,2776,434,819,2272,1699,949
31.031639,30.961556,621,2730,385,722,2354,1556,729
31.08575,30.965417,701,2445,400,717,2205,1722,929
31.142111,30.968861,836,2631,462,796,2274,1655,948
31.214722,30.984111,697,3336,394,805,2591,1654,824
31.268806,30.990528,1033,2049,545,906,2152,1926,1449
31.261778,31.049611,822,2387,476,787,2397,1781,1066
31.278194,31.093417,945,2797,535,899,2577,1892,1139
31.328944,31.132139,1144,2522,605,981,2557,2127,1508
31.399,31.125,1016,1654,531,813,1778,1760,1378
31.47175,31.126861,1026,2911,577,942,2848,2219,1367
31.526444,31.140306,1247,2796,643,1084,3029,2522,1669
31.565361,31.081889,1167,2911,612,1011,2593,2228,1500
31.586472,31.0525,1005,3298,539,838,2970,2142,1364
31.412167,30.451,1108,2653,560,976,2596,2152,1468
31.340417,30.366278,866,2155,478,783,2170,1817,1180
31.205,30.091444,1446,1835,803,1168,2017,2112,1942
31.167278,30.069167,1084,2344,579,942,2338,2123,1537
31.128167,30.102194,825,2273,513,797,2205,1645,1003
31.120861,30.164528,913,2486,496,868,2317,1921,1240
31.10825,30.211944,866,2052,445,754,2065,1672,1267
31.086417,30.294417,672,2764,376,691,2457,1738,995
31.069194,30.359806,867,2339,408,734,2310,1955,1313
31.01325,30.473583,758,2566,409,750,2338,1717,1054
