longitude,latitude,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
30.488472,31.173472,427.0,398.0,590.5,625.0,923.5,1276.0,1458.0,1488.0,1560.5,2669.5,1535.0,1056.0
30.524722,31.151861,446.0,232.0,481.5,332.0,754.5,2374.0,3269.0,3324.0,3379.5,3492.0,1453.0,812.0
30.566028,31.130972,500.0,799.5,1028.5,1263.0,1621.5,2150.5,2456.5,2450.5,2594.0,2701.0,2158.5,1608.0
30.647556,31.077806,691.5,743.5,930.5,1208.5,1574.0,1965.0,2210.0,2223.5,2449.0,2773.0,2586.0,1961.5
30.734028,31.0285,371.0,392.0,742.0,425.0,1310.0,3166.0,3862.0,3964.0,4079.0,3784.0,1539.0,785.0
30.807556,31.013361,614.0,622.0,753.0,905.0,1089.0,1213.0,1383.0,1347.0,1397.0,2368.0,1363.0,1160.0
30.790639,30.965194,341.0,435.0,612.0,708.0,878.0,2033.0,2260.0,2080.0,2462.0,3547.0,1914.0,1211.0
30.801278,30.913278,481.0,667.0,873.0,1223.0,1612.0,1667.0,1886.0,1985.0,2206.0,2092.0,2298.0,1735.0
30.815306,30.904389,826.0,955.0,1208.0,1438.0,1663.0,1765.0,1810.0,2246.0,1903.0,2960.0,2133.0,1741.0
30.848333,30.901222,313.0,306.0,570.0,426.0,1267.0,2774.0,3567.0,3747.0,3856.0,3970.0,1668.0,940.0
30.876917,30.8735,1080.0,1185.0,1421.0,1907.0,2246.0,2150.0,2246.0,2351.0,2405.0,2664.0,2902.0,2573.0
30.899056,30.85625,604.0,411.0,666.0,768.0,1089.0,1899.0,2285.0,2505.0,2492.0,2641.0,1749.0,1339.0
30.930333,30.835639,189.0,227.0,581.0,420.0,1077.0,2704.0,3580.0,3737.5,3785.0,3741.0,1530.0,833.5
30.961583,30.783083,339.5,364.5,592.5,513.5,1094.5,2316.0,2902.5,3001.5,3072.0,3057.0,1917.5,1263.0
31.003111,30.759333,345.5,602.5,885.0,869.5,1364.0,2255.5,2532.0,2480.0,2709.0,2941.0,1719.5,1179.5
31.043556,30.735694,299.0,367.0,588.0,486.0,889.0,2093.0,2493.0,2736.0,2641.0,2624.0,1559.0,975.0
31.085667,30.727861,399.0,554.0,837.0,1000.0,1327.0,2063.0,2376.0,2381.0,2605.0,2828.0,2032.0,1407.0
31.101222,30.683639,546.0,575.5,863.5,1166.5,1351.5,1419.0,1491.5,1565.0,1659.5,1977.0,1983.0,1746.5
31.143611,30.645361,405.0,472.5,896.0,749.5,1416.0,2793.0,2975.0,3076.5,3052.5,2989.0,1824.0,1191.5
31.1825,30.600361,477.0,553.0,825.0,981.0,1323.0,1967.0,2272.0,2319.0,2459.0,2446.0,2098.0,1509.0
31.2075,30.569444,319.0,509.5,772.5,1063.5,1313.5,1933.5,2149.5,2249.0,2352.5,2359.5,2017.5,1534.0
31.224444,30.531583,819.0,1033.0,1352.0,1704.0,2084.0,2495.0,2566.0,2613.0,2687.0,2806.0,2875.0,2527.0
31.264361,30.518389,667.0,640.0,957.0,1128.0,1600.0,2116.0,2440.0,2416.0,2678.0,2691.0,2407.0,1804.0
31.31125,30.515528,496.0,730.0,1035.0,1410.0,1771.0,2151.0,2417.0,2410.0,2675.0,2908.0,2672.0,2014.0
31.344417,30.482861,420.0,490.0,843.0,590.0,1373.0,3265.0,3704.0,3812.0,3904.0,3534.0,2109.0,1207.0
30.851444,31.030083,317.0,398.0,920.0,873.0,1734.0,3244.0,3905.0,4010.0,4122.0,4220.0,1851.0,1027.0
30.894389,31.024361,299.0,512.0,775.0,742.0,1159.0,2537.0,3140.0,3320.0,3430.0,3470.0,1785.0,1177.0
30.893667,31.024667,273.0,471.0,725.0,697.0,1269.0,2462.0,3239.0,3066.0,3408.0,4189.0,1744.0,1087.0
30.931611,30.990083,292.5,355.5,585.5,446.5,1137.0,2663.0,3323.0,3456.5,3583.0,3862.0,1430.5,742.0
30.980056,30.970417,282.5,308.0,634.0,404.0,1100.0,2732.5,3668.5,3708.0,3925.5,3995.5,1512.0,808.0
31.031639,30.961556,242.0,251.0,711.0,402.0,1119.0,3106.0,4168.0,4287.0,4544.0,4265.0,1412.0,666.0
31.08575,30.965417,443.0,493.0,680.0,992.0,1260.0,1635.0,1810.0,1852.0,1923.0,2173.0,1980.0,1363.0
31.142111,30.968861,377.0,625.0,1000.0,1381.0,1773.0,1922.0,2189.0,2323.0,2421.0,2539.0,2428.0,1900.0
31.214722,30.984111,222.0,302.0,766.0,536.0,1484.0,3456.0,4485.0,4662.0,4777.0,4559.0,1833.0,1004.0
31.268806,30.990528,645.0,860.0,1261.0,1685.0,2309.0,3095.0,3896.0,4094.0,4200.0,3759.0,3588.0,2560.0
31.261778,31.049611,331.0,345.0,698.0,474.0,1164.0,2810.0,3428.0,3460.0,3666.0,3480.0,2160.0,1271.0
31.278194,31.093417,349.0,468.0,853.0,620.0,1372.0,2968.0,3887.0,3994.0,4222.0,3909.0,1588.0,857.0
31.328944,31.132139,288.0,441.0,870.0,839.0,1827.0,3170.0,3750.0,4058.0,4133.0,4082.0,1667.0,952.0
31.399,31.125,576.0,612.0,870.0,986.0,1429.0,2440.0,2693.0,2610.0,2985.0,3312.0,2106.0,1479.0
31.47175,31.126861,707.0,406.0,619.0,596.0,1102.0,2357.0,2742.0,2993.0,3039.0,2567.0,2000.0,1149.0
31.526444,31.140306,349.0,459.0,855.0,856.0,1636.0,2746.0,3236.0,3589.0,3652.0,3707.0,1783.0,951.0
31.565361,31.081889,350.0,251.0,569.0,378.0,1054.0,2851.0,3845.0,3960.0,4020.0,3856.0,1615.0,870.0
31.586472,31.0525,439.0,362.0,620.0,561.0,1161.0,2829.0,3518.0,3839.0,3769.0,3959.0,2354.0,1419.0
31.412167,30.451,774.0,751.0,1157.0,1196.0,1926.0,3022.0,3247.0,3440.0,3504.0,3416.0,2463.0,1808.0
31.340417,30.366278,367.0,546.0,770.0,956.0,1139.0,1285.0,1452.0,1435.0,1499.0,2226.0,1655.0,1284.0
31.205,30.091444,1127.0,1402.0,1717.0,2206.0,2399.0,2418.0,2531.0,2557.0,2556.0,2531.0,3077.0,2904.0
31.167278,30.069167,838.0,1277.0,1646.0,1976.0,2312.0,2579.0,2762.0,3014.0,2873.0,3109.0,3150.0,2646.0
31.128167,30.102194,551.0,651.0,908.0,1010.0,1418.0,2382.0,2906.0,2845.0,2880.0,2935.0,2295.0,1561.0
31.120861,30.164528,412.0,503.0,802.0,724.0,1204.0,2306.0,2575.0,2608.0,2719.0,2588.0,2043.0,1264.0
31.10825,30.211944,466.0,371.0,601.0,552.0,925.0,2054.0,2562.0,2602.0,2737.0,2406.0,1711.0,1190.0
31.086417,30.294417,338.0,398.0,671.0,530.0,1055.0,2759.0,3202.0,3289.0,3444.0,3699.0,1894.0,1019.0
31.069194,30.359806,394.0,416.0,696.0,590.0,1024.0,2052.0,2429.0,2535.0,2662.0,2669.0,1705.0,1147.0
31.01325,30.473583,452.0,513.5,727.0,626.0,1177.0,2348.5,2617.0,2551.0,2774.5,2398.0,1845.5,1145.5
